misskey,4786,4786,3000,Misskey,名詞,固有名詞,一般,*,*,*,ミスキー,Misskey,*,A,*,*,*,*
cherrypick,4786,4786,3000,CherryPick,名詞,固有名詞,一般,*,*,*,チェリーピック,CherryPick,*,*,*,*,*,*
sharkey,4786,4786,3000,Sharkey,名詞,固有名詞,一般,*,*,*,シャーキー,Sharkey,*,*,*,*,*,*
firefish,4786,4786,3000,Firefish,名詞,固有名詞,一般,*,*,*,ファイアフィッシュ,Firefish,*,*,*,*,*,*
iceshrimp,4786,4786,3000,IceShrimp,名詞,固有名詞,一般,*,*,*,アイスシュリンプ,IceShrimp,*,*,*,*,*,*
iceshrimp.net,4786,4786,3000,IceShrimp.net,名詞,固有名詞,一般,*,*,*,アイスシュリンプドットネット,IceShrimp.NET,*,*,*,*,*,*
pleroma,4786,4786,3000,Pleroma,名詞,固有名詞,一般,*,*,*,プレロマ,Pleroma,*,*,*,*,*,*
akkoma,4786,4786,3000,Akkoma,名詞,固有名詞,一般,*,*,*,アッコマ,Akkoma,*,*,*,*,*,*
hollo,4786,4786,3000,Hollo,名詞,固有名詞,一般,*,*,*,ホロ,Hollo,*,*,*,*,*,*
fedibird,4786,4786,3000,FediBird,名詞,固有名詞,一般,*,*,*,フェディバード,FediBird,*,*,*,*,*,*
kmyblue,4786,4786,3000,kmyblue,名詞,固有名詞,一般,*,*,*,カミーブルー,kmyblue,*,*,*,*,*,*
